materia,Tema,RA,RA,Competencia,Competencia
Fundamentos de Tecnologías de la Información,Estrategias digitales nacional,RA1,Domina los conceptos básicos de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Estrategias digitales nacional,RA2,Explica como los componentes de Tecnologías de la Información se interrelacionan.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Estrategias digitales nacional,RA3,Explica cómo y porqué ocurre la complejidad en Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Estrategias digitales nacional,RA4,Describe el rol del profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Estrategias digitales nacional,RA5,Explica por qué un desarrollo profesional continuo y de aprendizaje a largo plazo es crítico para un profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Estrategias digitales nacional,RA6,Explica por qué la adaptabilidad y las habilidades interpersonales son importantes para un profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Estrategias digitales nacional,RA7,Identifica las necesidades de Tecnologías de la Información con otras disciplinas.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Estrategias digitales nacional,RA8,Interpreta el contexto social de una implementación de Tecnologías de la Información,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Estrategias digitales nacional,RA9,Identifica como el Internet ha cambiado la cara de la informática y cómo ha afectado a la sociedad.  ,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Pilares para una estrategia nacional  digital. ,RA1,Domina los conceptos básicos de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Pilares para una estrategia nacional  digital. ,RA2,Explica como los componentes de Tecnologías de la Información se interrelacionan.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Pilares para una estrategia nacional  digital. ,RA3,Explica cómo y porqué ocurre la complejidad en Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Pilares para una estrategia nacional  digital. ,RA4,Describe el rol del profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Pilares para una estrategia nacional  digital. ,RA5,Explica por qué un desarrollo profesional continuo y de aprendizaje a largo plazo es crítico para un profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Pilares para una estrategia nacional  digital. ,RA6,Explica por qué la adaptabilidad y las habilidades interpersonales son importantes para un profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Pilares para una estrategia nacional  digital. ,RA7,Identifica las necesidades de Tecnologías de la Información con otras disciplinas.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Pilares para una estrategia nacional  digital. ,RA8,Interpreta el contexto social de una implementación de Tecnologías de la Información,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Pilares para una estrategia nacional  digital. ,RA9,Identifica como el Internet ha cambiado la cara de la informática y cómo ha afectado a la sociedad.  ,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Tendencias en Tecnologías de la  Información y Comunicación ,RA1,Domina los conceptos básicos de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Tendencias en Tecnologías de la  Información y Comunicación ,RA2,Explica como los componentes de Tecnologías de la Información se interrelacionan.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Tendencias en Tecnologías de la  Información y Comunicación ,RA3,Explica cómo y porqué ocurre la complejidad en Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Tendencias en Tecnologías de la  Información y Comunicación ,RA4,Describe el rol del profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Tendencias en Tecnologías de la  Información y Comunicación ,RA5,Explica por qué un desarrollo profesional continuo y de aprendizaje a largo plazo es crítico para un profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Tendencias en Tecnologías de la  Información y Comunicación ,RA6,Explica por qué la adaptabilidad y las habilidades interpersonales son importantes para un profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Tendencias en Tecnologías de la  Información y Comunicación ,RA7,Identifica las necesidades de Tecnologías de la Información con otras disciplinas.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Tendencias en Tecnologías de la  Información y Comunicación ,RA8,Interpreta el contexto social de una implementación de Tecnologías de la Información,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Tendencias en Tecnologías de la  Información y Comunicación ,RA9,Identifica como el Internet ha cambiado la cara de la informática y cómo ha afectado a la sociedad.  ,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Evolución de los modelos de  negocio ,RA1,Domina los conceptos básicos de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Evolución de los modelos de  negocio ,RA2,Explica como los componentes de Tecnologías de la Información se interrelacionan.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Evolución de los modelos de  negocio ,RA3,Explica cómo y porqué ocurre la complejidad en Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Evolución de los modelos de  negocio ,RA4,Describe el rol del profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Evolución de los modelos de  negocio ,RA5,Explica por qué un desarrollo profesional continuo y de aprendizaje a largo plazo es crítico para un profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Evolución de los modelos de  negocio ,RA6,Explica por qué la adaptabilidad y las habilidades interpersonales son importantes para un profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Evolución de los modelos de  negocio ,RA7,Identifica las necesidades de Tecnologías de la Información con otras disciplinas.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Evolución de los modelos de  negocio ,RA8,Interpreta el contexto social de una implementación de Tecnologías de la Información,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Evolución de los modelos de  negocio ,RA9,Identifica como el Internet ha cambiado la cara de la informática y cómo ha afectado a la sociedad.  ,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Gobernanza en Internet,RA1,Domina los conceptos básicos de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Gobernanza en Internet,RA2,Explica como los componentes de Tecnologías de la Información se interrelacionan.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Gobernanza en Internet,RA3,Explica cómo y porqué ocurre la complejidad en Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Gobernanza en Internet,RA4,Describe el rol del profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Gobernanza en Internet,RA5,Explica por qué un desarrollo profesional continuo y de aprendizaje a largo plazo es crítico para un profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Gobernanza en Internet,RA6,Explica por qué la adaptabilidad y las habilidades interpersonales son importantes para un profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Gobernanza en Internet,RA7,Identifica las necesidades de Tecnologías de la Información con otras disciplinas.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Gobernanza en Internet,RA8,Interpreta el contexto social de una implementación de Tecnologías de la Información,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Gobernanza en Internet,RA9,Identifica como el Internet ha cambiado la cara de la informática y cómo ha afectado a la sociedad.  ,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Impacto de las Tecnologías de la Información y Comunicación en estrategias digitales ,RA1,Domina los conceptos básicos de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Impacto de las Tecnologías de la Información y Comunicación en estrategias digitales ,RA2,Explica como los componentes de Tecnologías de la Información se interrelacionan.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Impacto de las Tecnologías de la Información y Comunicación en estrategias digitales ,RA3,Explica cómo y porqué ocurre la complejidad en Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Impacto de las Tecnologías de la Información y Comunicación en estrategias digitales ,RA4,Describe el rol del profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Impacto de las Tecnologías de la Información y Comunicación en estrategias digitales ,RA5,Explica por qué un desarrollo profesional continuo y de aprendizaje a largo plazo es crítico para un profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Impacto de las Tecnologías de la Información y Comunicación en estrategias digitales ,RA6,Explica por qué la adaptabilidad y las habilidades interpersonales son importantes para un profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Impacto de las Tecnologías de la Información y Comunicación en estrategias digitales ,RA7,Identifica las necesidades de Tecnologías de la Información con otras disciplinas.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Impacto de las Tecnologías de la Información y Comunicación en estrategias digitales ,RA8,Interpreta el contexto social de una implementación de Tecnologías de la Información,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Impacto de las Tecnologías de la Información y Comunicación en estrategias digitales ,RA9,Identifica como el Internet ha cambiado la cara de la informática y cómo ha afectado a la sociedad.  ,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Adopción y uso de las Tecnologías de la Información y Comunicación a través de las actividades económicas y sociales ,RA1,Domina los conceptos básicos de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Adopción y uso de las Tecnologías de la Información y Comunicación a través de las actividades económicas y sociales ,RA2,Explica como los componentes de Tecnologías de la Información se interrelacionan.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Adopción y uso de las Tecnologías de la Información y Comunicación a través de las actividades económicas y sociales ,RA3,Explica cómo y porqué ocurre la complejidad en Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Adopción y uso de las Tecnologías de la Información y Comunicación a través de las actividades económicas y sociales ,RA4,Describe el rol del profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Adopción y uso de las Tecnologías de la Información y Comunicación a través de las actividades económicas y sociales ,RA5,Explica por qué un desarrollo profesional continuo y de aprendizaje a largo plazo es crítico para un profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Adopción y uso de las Tecnologías de la Información y Comunicación a través de las actividades económicas y sociales ,RA6,Explica por qué la adaptabilidad y las habilidades interpersonales son importantes para un profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Adopción y uso de las Tecnologías de la Información y Comunicación a través de las actividades económicas y sociales ,RA7,Identifica las necesidades de Tecnologías de la Información con otras disciplinas.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Adopción y uso de las Tecnologías de la Información y Comunicación a través de las actividades económicas y sociales ,RA8,Interpreta el contexto social de una implementación de Tecnologías de la Información,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Adopción y uso de las Tecnologías de la Información y Comunicación a través de las actividades económicas y sociales ,RA9,Identifica como el Internet ha cambiado la cara de la informática y cómo ha afectado a la sociedad.  ,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Crecimiento productividad y plazas de trabajo en economía digital. ,RA1,Domina los conceptos básicos de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Crecimiento productividad y plazas de trabajo en economía digital. ,RA2,Explica como los componentes de Tecnologías de la Información se interrelacionan.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Crecimiento productividad y plazas de trabajo en economía digital. ,RA3,Explica cómo y porqué ocurre la complejidad en Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Crecimiento productividad y plazas de trabajo en economía digital. ,RA4,Describe el rol del profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Crecimiento productividad y plazas de trabajo en economía digital. ,RA5,Explica por qué un desarrollo profesional continuo y de aprendizaje a largo plazo es crítico para un profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Crecimiento productividad y plazas de trabajo en economía digital. ,RA6,Explica por qué la adaptabilidad y las habilidades interpersonales son importantes para un profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Crecimiento productividad y plazas de trabajo en economía digital. ,RA7,Identifica las necesidades de Tecnologías de la Información con otras disciplinas.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Crecimiento productividad y plazas de trabajo en economía digital. ,RA8,Interpreta el contexto social de una implementación de Tecnologías de la Información,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Crecimiento productividad y plazas de trabajo en economía digital. ,RA9,Identifica como el Internet ha cambiado la cara de la informática y cómo ha afectado a la sociedad.  ,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Políticas de regulación y comunicación,RA1,Domina los conceptos básicos de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Políticas de regulación y comunicación,RA2,Explica como los componentes de Tecnologías de la Información se interrelacionan.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
