materia,Tema,RA,RA,Competencia,Competencia
Fundamentos de Tecnologías de la Información,Políticas de regulación y comunicación,RA3,Explica cómo y porqué ocurre la complejidad en Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Políticas de regulación y comunicación,RA4,Describe el rol del profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Políticas de regulación y comunicación,RA5,Explica por qué un desarrollo profesional continuo y de aprendizaje a largo plazo es crítico para un profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Políticas de regulación y comunicación,RA6,Explica por qué la adaptabilidad y las habilidades interpersonales son importantes para un profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Políticas de regulación y comunicación,RA7,Identifica las necesidades de Tecnologías de la Información con otras disciplinas.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Políticas de regulación y comunicación,RA8,Interpreta el contexto social de una implementación de Tecnologías de la Información,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Políticas de regulación y comunicación,RA9,Identifica como el Internet ha cambiado la cara de la informática y cómo ha afectado a la sociedad.  ,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Consolidación industrial,RA1,Domina los conceptos básicos de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Consolidación industrial,RA2,Explica como los componentes de Tecnologías de la Información se interrelacionan.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Consolidación industrial,RA3,Explica cómo y porqué ocurre la complejidad en Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Consolidación industrial,RA4,Describe el rol del profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Consolidación industrial,RA5,Explica por qué un desarrollo profesional continuo y de aprendizaje a largo plazo es crítico para un profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Consolidación industrial,RA6,Explica por qué la adaptabilidad y las habilidades interpersonales son importantes para un profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Consolidación industrial,RA7,Identifica las necesidades de Tecnologías de la Información con otras disciplinas.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Consolidación industrial,RA8,Interpreta el contexto social de una implementación de Tecnologías de la Información,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Consolidación industrial,RA9,Identifica como el Internet ha cambiado la cara de la informática y cómo ha afectado a la sociedad.  ,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,La neutralidad de la red ,RA1,Domina los conceptos básicos de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,La neutralidad de la red ,RA2,Explica como los componentes de Tecnologías de la Información se interrelacionan.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,La neutralidad de la red ,RA3,Explica cómo y porqué ocurre la complejidad en Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,La neutralidad de la red ,RA4,Describe el rol del profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,La neutralidad de la red ,RA5,Explica por qué un desarrollo profesional continuo y de aprendizaje a largo plazo es crítico para un profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,La neutralidad de la red ,RA6,Explica por qué la adaptabilidad y las habilidades interpersonales son importantes para un profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,La neutralidad de la red ,RA7,Identifica las necesidades de Tecnologías de la Información con otras disciplinas.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,La neutralidad de la red ,RA8,Interpreta el contexto social de una implementación de Tecnologías de la Información,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,La neutralidad de la red ,RA9,Identifica como el Internet ha cambiado la cara de la informática y cómo ha afectado a la sociedad.  ,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,El impacto de la expansión  inalámbrica ,RA1,Domina los conceptos básicos de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,El impacto de la expansión  inalámbrica ,RA2,Explica como los componentes de Tecnologías de la Información se interrelacionan.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,El impacto de la expansión  inalámbrica ,RA3,Explica cómo y porqué ocurre la complejidad en Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,El impacto de la expansión  inalámbrica ,RA4,Describe el rol del profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,El impacto de la expansión  inalámbrica ,RA5,Explica por qué un desarrollo profesional continuo y de aprendizaje a largo plazo es crítico para un profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,El impacto de la expansión  inalámbrica ,RA6,Explica por qué la adaptabilidad y las habilidades interpersonales son importantes para un profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,El impacto de la expansión  inalámbrica ,RA7,Identifica las necesidades de Tecnologías de la Información con otras disciplinas.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,El impacto de la expansión  inalámbrica ,RA8,Interpreta el contexto social de una implementación de Tecnologías de la Información,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,El impacto de la expansión  inalámbrica ,RA9,Identifica como el Internet ha cambiado la cara de la informática y cómo ha afectado a la sociedad.  ,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Seguridad y privacidad ,RA1,Domina los conceptos básicos de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Seguridad y privacidad ,RA2,Explica como los componentes de Tecnologías de la Información se interrelacionan.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Seguridad y privacidad ,RA3,Explica cómo y porqué ocurre la complejidad en Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Seguridad y privacidad ,RA4,Describe el rol del profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Seguridad y privacidad ,RA5,Explica por qué un desarrollo profesional continuo y de aprendizaje a largo plazo es crítico para un profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Seguridad y privacidad ,RA6,Explica por qué la adaptabilidad y las habilidades interpersonales son importantes para un profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Seguridad y privacidad ,RA7,Identifica las necesidades de Tecnologías de la Información con otras disciplinas.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Seguridad y privacidad ,RA8,Interpreta el contexto social de una implementación de Tecnologías de la Información,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Seguridad y privacidad ,RA9,Identifica como el Internet ha cambiado la cara de la informática y cómo ha afectado a la sociedad.  ,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Seguridad digital y riesgos de privacidad ,RA1,Domina los conceptos básicos de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Seguridad digital y riesgos de privacidad ,RA2,Explica como los componentes de Tecnologías de la Información se interrelacionan.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Seguridad digital y riesgos de privacidad ,RA3,Explica cómo y porqué ocurre la complejidad en Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Seguridad digital y riesgos de privacidad ,RA4,Describe el rol del profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Seguridad digital y riesgos de privacidad ,RA5,Explica por qué un desarrollo profesional continuo y de aprendizaje a largo plazo es crítico para un profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Seguridad digital y riesgos de privacidad ,RA6,Explica por qué la adaptabilidad y las habilidades interpersonales son importantes para un profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Seguridad digital y riesgos de privacidad ,RA7,Identifica las necesidades de Tecnologías de la Información con otras disciplinas.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Seguridad digital y riesgos de privacidad ,RA8,Interpreta el contexto social de una implementación de Tecnologías de la Información,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Seguridad digital y riesgos de privacidad ,RA9,Identifica como el Internet ha cambiado la cara de la informática y cómo ha afectado a la sociedad.  ,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Tecnologías emergentes ,RA1,Domina los conceptos básicos de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Tecnologías emergentes ,RA2,Explica como los componentes de Tecnologías de la Información se interrelacionan.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Tecnologías emergentes ,RA3,Explica cómo y porqué ocurre la complejidad en Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Tecnologías emergentes ,RA4,Describe el rol del profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Tecnologías emergentes ,RA5,Explica por qué un desarrollo profesional continuo y de aprendizaje a largo plazo es crítico para un profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Tecnologías emergentes ,RA6,Explica por qué la adaptabilidad y las habilidades interpersonales son importantes para un profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Tecnologías emergentes ,RA7,Identifica las necesidades de Tecnologías de la Información con otras disciplinas.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Tecnologías emergentes ,RA8,Interpreta el contexto social de una implementación de Tecnologías de la Información,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Tecnologías emergentes ,RA9,Identifica como el Internet ha cambiado la cara de la informática y cómo ha afectado a la sociedad.  ,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,"Tecnologías disruptivas Social,  Móvil, Analytics, Cloud, IoT ",RA1,Domina los conceptos básicos de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,"Tecnologías disruptivas Social,  Móvil, Analytics, Cloud, IoT ",RA2,Explica como los componentes de Tecnologías de la Información se interrelacionan.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,"Tecnologías disruptivas Social,  Móvil, Analytics, Cloud, IoT ",RA3,Explica cómo y porqué ocurre la complejidad en Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,"Tecnologías disruptivas Social,  Móvil, Analytics, Cloud, IoT ",RA4,Describe el rol del profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,"Tecnologías disruptivas Social,  Móvil, Analytics, Cloud, IoT ",RA5,Explica por qué un desarrollo profesional continuo y de aprendizaje a largo plazo es crítico para un profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,"Tecnologías disruptivas Social,  Móvil, Analytics, Cloud, IoT ",RA6,Explica por qué la adaptabilidad y las habilidades interpersonales son importantes para un profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,"Tecnologías disruptivas Social,  Móvil, Analytics, Cloud, IoT ",RA7,Identifica las necesidades de Tecnologías de la Información con otras disciplinas.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,"Tecnologías disruptivas Social,  Móvil, Analytics, Cloud, IoT ",RA8,Interpreta el contexto social de una implementación de Tecnologías de la Información,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,"Tecnologías disruptivas Social,  Móvil, Analytics, Cloud, IoT ",RA9,Identifica como el Internet ha cambiado la cara de la informática y cómo ha afectado a la sociedad.  ,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Maquinas autónomas,RA1,Domina los conceptos básicos de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Maquinas autónomas,RA2,Explica como los componentes de Tecnologías de la Información se interrelacionan.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Maquinas autónomas,RA3,Explica cómo y porqué ocurre la complejidad en Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Maquinas autónomas,RA4,Describe el rol del profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Maquinas autónomas,RA5,Explica por qué un desarrollo profesional continuo y de aprendizaje a largo plazo es crítico para un profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Maquinas autónomas,RA6,Explica por qué la adaptabilidad y las habilidades interpersonales son importantes para un profesional de Tecnologías de la Información.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Maquinas autónomas,RA7,Identifica las necesidades de Tecnologías de la Información con otras disciplinas.,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Maquinas autónomas,RA8,Interpreta el contexto social de una implementación de Tecnologías de la Información,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
Fundamentos de Tecnologías de la Información,Maquinas autónomas,RA9,Identifica como el Internet ha cambiado la cara de la informática y cómo ha afectado a la sociedad.  ,C1,"Describe a TI como una disciplina y discute la historia y el futuro de la informática, así como la infraestructura actualmente utilizada  en base a esquemas tecnologícos predefinidos que le permitan distinguir y direnciar contextos de negocio especificos."
