Nombre común,Usos,Enfermedad
Igualan,Para curar los empeines sarpullidos y problemas dermatológicos. Para lavar el cabello y eliminar la caspa.,Empeines
Igualan,Para curar los empeines sarpullidos y problemas dermatológicos. Para lavar el cabello y eliminar la caspa.,Sarpullidos
Igualan,Para curar los empeines sarpullidos y problemas dermatológicos. Para lavar el cabello y eliminar la caspa.,Problemas dermatológicos
Igualan,Para curar los empeines sarpullidos y problemas dermatológicos. Para lavar el cabello y eliminar la caspa.,Caspa
Mollentín,Para tratar las inflamaciones provocadas por golpes en extremidades de animales y humanos.,Inflamaciones por golpes
"Calaguala, carabala",Planta útil para tratar afecciones del hígado y riñón. Es una planta fresca,Afecciones del hígado
"Calaguala, carabala",Planta útil para tratar afecciones del hígado y riñón. Es una planta fresca,Afecciones del riñón
"Cucharillo, gañil","Es una planta “fresca”, se usa para aliviar inflamaciones de los riñones. Es una de las principales plantas utilizadas en la elaboración de la horchata lojana. Es una planta fresca.",Inflamaciones de los riñones
Perlilla,"En las comunidades rurales se usa para curar el sarampión y, para tratar las infecciones respiratorias.",Sarampión
Perlilla,"En las comunidades rurales se usa para curar el sarampión y, para tratar las infecciones respiratorias.",Infecciones respiratorias
Cascarilla,De la cascara se obtiene la quinina para tratar el paludismo que es el uso principal de la especie. Para tratar el reumatismo y elevar las defensas del cuerpo contra la gripe y neumonía.,Paludismo
Cascarilla,De la cascara se obtiene la quinina para tratar el paludismo que es el uso principal de la especie. Para tratar el reumatismo y elevar las defensas del cuerpo contra la gripe y neumonía.,Reumatismo
Cascarilla,De la cascara se obtiene la quinina para tratar el paludismo que es el uso principal de la especie. Para tratar el reumatismo y elevar las defensas del cuerpo contra la gripe y neumonía.,Gripe
Cascarilla,De la cascara se obtiene la quinina para tratar el paludismo que es el uso principal de la especie. Para tratar el reumatismo y elevar las defensas del cuerpo contra la gripe y neumonía.,Neumonía
Monte de raposo,Se usa para tratar el “mal aire” y “mal de ojo”. es una planta cálida.,Mal aire
Monte de raposo,Se usa para tratar el “mal aire” y “mal de ojo”. es una planta cálida.,Mal de ojo
"Consuelda, suelda",Es utilizada para curaciones del “mal aire” y aliviar el dolor de los huesos producido por el frio; es una planta calida.,Mal aire
"Consuelda, suelda",Es utilizada para curaciones del “mal aire” y aliviar el dolor de los huesos producido por el frio; es una planta calida.,Dolores de los huesos
Matico de canuto,Para dolores musculares y de los huesos.,Dolores musculares
Matico de canuto,Para dolores musculares y de los huesos.,Dolores de los huesos
Lechuga roja,Para tratar afecciones del sistema nervioso.,Afecciones del sistema nervioso
Tiatina,"Para aliviar dolores en el pecho, para bajar la fiebre, inflamación de los riñones, para desinflamar la piel producto de la presencia de salpullidos (granos) infectados, infección interna denominado escorbuto. Es una planta fresca.",Dolores en el pecho
Tiatina,"Para aliviar dolores en el pecho, para bajar la fiebre, inflamación de los riñones, para desinflamar la piel producto de la presencia de salpullidos (granos) infectados, infección interna denominado escorbuto. Es una planta fresca.",Fiebre
Tiatina,"Para aliviar dolores en el pecho, para bajar la fiebre, inflamación de los riñones, para desinflamar la piel producto de la presencia de salpullidos (granos) infectados, infección interna denominado escorbuto. Es una planta fresca.",Inflamaciones de los riñones
Tiatina,"Para aliviar dolores en el pecho, para bajar la fiebre, inflamación de los riñones, para desinflamar la piel producto de la presencia de salpullidos (granos) infectados, infección interna denominado escorbuto. Es una planta fresca.",Salpullidos
Tiatina,"Para aliviar dolores en el pecho, para bajar la fiebre, inflamación de los riñones, para desinflamar la piel producto de la presencia de salpullidos (granos) infectados, infección interna denominado escorbuto. Es una planta fresca.",Escorbuto
"Guando blanco, Floripondio","Planta de olor fuerte usada para curar el mal aire y mal de ojo. Alivia dolores reumáticos y artríticos. Una planta sembrada cerca de la casa protege de la envidia y mala suerte. Es alucinógeno usado en religión, magia y medicina (Béjar et al., 2001; de la Torre et al., 2008). Además tiene propiedades pesticidas.",Mal aire
"Guando blanco, Floripondio","Planta de olor fuerte usada para curar el mal aire y mal de ojo. Alivia dolores reumáticos y artríticos. Una planta sembrada cerca de la casa protege de la envidia y mala suerte. Es alucinógeno usado en religión, magia y medicina (Béjar et al., 2001; de la Torre et al., 2008). Además tiene propiedades pesticidas.",Mal de ojo
"Guando blanco, Floripondio","Planta de olor fuerte usada para curar el mal aire y mal de ojo. Alivia dolores reumáticos y artríticos. Una planta sembrada cerca de la casa protege de la envidia y mala suerte. Es alucinógeno usado en religión, magia y medicina (Béjar et al., 2001; de la Torre et al., 2008). Además tiene propiedades pesticidas.",Dolores reumáticos
"Guando blanco, Floripondio","Planta de olor fuerte usada para curar el mal aire y mal de ojo. Alivia dolores reumáticos y artríticos. Una planta sembrada cerca de la casa protege de la envidia y mala suerte. Es alucinógeno usado en religión, magia y medicina (Béjar et al., 2001; de la Torre et al., 2008). Además tiene propiedades pesticidas.",Dolores artríticos
"Guando rojo, campanilla","Planta medicinal que cura abscesos con pus, mal aire y mal de ojo. Además tiene propiedades fungicidas. Se siembra una planta de guando en la entrada de la casa y protege de la envidia y mala suerte.",Abscesos
"Guando rojo, campanilla","Planta medicinal que cura abscesos con pus, mal aire y mal de ojo. Además tiene propiedades fungicidas. Se siembra una planta de guando en la entrada de la casa y protege de la envidia y mala suerte.",Mal aire
"Guando rojo, campanilla","Planta medicinal que cura abscesos con pus, mal aire y mal de ojo. Además tiene propiedades fungicidas. Se siembra una planta de guando en la entrada de la casa y protege de la envidia y mala suerte.",Mal de ojo
Sauco negro,"Se utiliza para resfríos, dolor de cabeza y fiebre. Para aliviar la inflamación en los niños producido por el calor.",Resfrío
Sauco negro,"Se utiliza para resfríos, dolor de cabeza y fiebre. Para aliviar la inflamación en los niños producido por el calor.",Dolor de cabeza
Sauco negro,"Se utiliza para resfríos, dolor de cabeza y fiebre. Para aliviar la inflamación en los niños producido por el calor.",Fiebre
Tabaco,"Planta medicinal para aliviar el dolor de cabeza y tratar la sinusitis; también para limpias del mal de ojos y mal aire, es una planta cálida.",Dolor de cabeza
Tabaco,"Planta medicinal para aliviar el dolor de cabeza y tratar la sinusitis; también para limpias del mal de ojos y mal aire, es una planta cálida.",Sinusitis
Tabaco,"Planta medicinal para aliviar el dolor de cabeza y tratar la sinusitis; también para limpias del mal de ojos y mal aire, es una planta cálida.",Mal aire
Tabaco,"Planta medicinal para aliviar el dolor de cabeza y tratar la sinusitis; también para limpias del mal de ojos y mal aire, es una planta cálida.",Mal de ojo
"Mortiño, hierba mora","Se usa para curar el dolor de cabeza, fatiga, calor al pecho y gastritis, también para afecciones de hígado e inflamaciones en los ojos. El uso más difundido es para aliviar las molestias del chuchaqui (estragos del consumo de bebidas alcohólicas). Es una planta fresca.",Dolor de cabeza
"Mortiño, hierba mora","Se usa para curar el dolor de cabeza, fatiga, calor al pecho y gastritis, también para afecciones de hígado e inflamaciones en los ojos. El uso más difundido es para aliviar las molestias del chuchaqui (estragos del consumo de bebidas alcohólicas). Es una planta fresca.",Fatiga
"Mortiño, hierba mora","Se usa para curar el dolor de cabeza, fatiga, calor al pecho y gastritis, también para afecciones de hígado e inflamaciones en los ojos. El uso más difundido es para aliviar las molestias del chuchaqui (estragos del consumo de bebidas alcohólicas). Es una planta fresca.",Calor al pecho
"Mortiño, hierba mora","Se usa para curar el dolor de cabeza, fatiga, calor al pecho y gastritis, también para afecciones de hígado e inflamaciones en los ojos. El uso más difundido es para aliviar las molestias del chuchaqui (estragos del consumo de bebidas alcohólicas). Es una planta fresca.",Gastritis
"Mortiño, hierba mora","Se usa para curar el dolor de cabeza, fatiga, calor al pecho y gastritis, también para afecciones de hígado e inflamaciones en los ojos. El uso más difundido es para aliviar las molestias del chuchaqui (estragos del consumo de bebidas alcohólicas). Es una planta fresca.",Afecciones del hígado
"Mortiño, hierba mora","Se usa para curar el dolor de cabeza, fatiga, calor al pecho y gastritis, también para afecciones de hígado e inflamaciones en los ojos. El uso más difundido es para aliviar las molestias del chuchaqui (estragos del consumo de bebidas alcohólicas). Es una planta fresca.",Inflamaciones en los ojos
"Mortiño, hierba mora","Se usa para curar el dolor de cabeza, fatiga, calor al pecho y gastritis, también para afecciones de hígado e inflamaciones en los ojos. El uso más difundido es para aliviar las molestias del chuchaqui (estragos del consumo de bebidas alcohólicas). Es una planta fresca.",Resaca
"Cadillo, abrojo","Es una planta fresca, por esta razón su uso es muy difundido para desinflamar el organismo (riñones) y aliviar los síntomas de la gripe cuando es por exceso de calor. Es una planta fresca.",Gripe
"Cadillo, abrojo","Es una planta fresca, por esta razón su uso es muy difundido para desinflamar el organismo (riñones) y aliviar los síntomas de la gripe cuando es por exceso de calor. Es una planta fresca.",Riñones inflamados
"Ortiga macho, Huasca","Para tratar el dolor el resfrío de los huesos, reumatismo y dolores articulares.",Reumatismo
"Ortiga macho, Huasca","Para tratar el dolor el resfrío de los huesos, reumatismo y dolores articulares.",Dolores articulares
"Ortiga macho, Huasca","Para tratar el dolor el resfrío de los huesos, reumatismo y dolores articulares.",Resfrío de huesos
"Ortiga común, chine",Es una planta diurética. Para dolores musculares y golpes.,Dolores musculares
"Ortiga común, chine",Es una planta diurética. Para dolores musculares y golpes.,Golpes
Valeriana,Para calambres e insomnio. Para los nervios y curar el “mal aire”; es una planta cálida.,Calambres
Valeriana,Para calambres e insomnio. Para los nervios y curar el “mal aire”; es una planta cálida.,Insomnio
Valeriana,Para calambres e insomnio. Para los nervios y curar el “mal aire”; es una planta cálida.,Nervios
Valeriana,Para calambres e insomnio. Para los nervios y curar el “mal aire”; es una planta cálida.,Mal aire
"Valeriana de canuto, valeriana hedionda","Se usa para tratar calambres, insomnio y nervios.",Calambres
"Valeriana de canuto, valeriana hedionda","Se usa para tratar calambres, insomnio y nervios.",Insomnio
"Valeriana de canuto, valeriana hedionda","Se usa para tratar calambres, insomnio y nervios.",Nervios
Verbena,Para bajar las hinchazones y aliviar la gripe. También es utilizada para tratar la gangrena. Para castigar a los niños y adolescentes cuando son andariegos.,Hinchazon
Verbena,Para bajar las hinchazones y aliviar la gripe. También es utilizada para tratar la gangrena. Para castigar a los niños y adolescentes cuando son andariegos.,Gripe
Verbena,Para bajar las hinchazones y aliviar la gripe. También es utilizada para tratar la gangrena. Para castigar a los niños y adolescentes cuando son andariegos.,Gangrena
"Shorga, mata palo.","Sirve para sanar las fracturas de brazos y piernas, baños de mujeres luego del parto.",Fracturas